approx_year_built,cats_allowed,coop_condo,dining_room_type,dogs_allowed,garage_exists,kitchen_type,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,pct_tax_deductibl,sale_price,sq_footage,walk_score,zip_codes,monthly_costs
1949,no,condo,formal,no,no,eat in,1,2,0,6,NA,420000,NA,48,Northeast Queens,893.3333333
1960,no,co-op,combo,no,no,eat in,1,1,0,3,NA,130000,750,77,Jamaica,660
1989,no,condo,combo,no,no,efficiency,2,2,1,8,NA,420000,1000,94,Jamaica,421.6666667
1964,no,co-op,formal,no,no,eat in,1,1,0,3,45,275000,825,97,West Central Queens,860
1950,yes,co-op,NA,yes,no,eat in,1,1,0,3,NA,237000,NA,97,Northwest Queens,722
1970,yes,co-op,NA,yes,no,efficiency,3,2,1,7,40,400000,1800,76,North Queens,2252
1936,yes,co-op,NA,yes,no,eat in,1,1,0,3,49,235000,1000,84,Southwest Queens,869
2015,yes,condo,NA,yes,no,eat in,0,1,0,3,NA,596000,532,96,Northwest Queens,465.25
1955,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,155000,NA,77,Southwest Queens,602
1950,yes,co-op,NA,no,no,efficiency,1,1,0,4,NA,145000,586,82,Northeast Queens,656
1950,no,co-op,combo,no,no,eat in,1,1,0,4,NA,113000,NA,72,Southeast Queens,666.9166667
1955,no,co-op,combo,no,no,Combo,2,1,0,4,50,162000,NA,69,Southeast Queens,641
1964,yes,co-op,formal,yes,no,efficiency,2,1,0,5,NA,145000,NA,73,Southwest Queens,732
1961,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,160000,NA,76,Northeast Queens,757
1936,no,co-op,NA,no,no,eat in,0,1,0,2,NA,175000,NA,85,West Queens,452
1951,yes,co-op,combo,yes,no,efficiency,1,1,0,3,NA,180000,NA,87,Central Queens,638
1950,yes,co-op,formal,yes,no,efficiency,1,1,0,3,NA,164000,NA,63,Central Queens,746
1958,no,co-op,NA,no,no,eat in,1,1,0,3,NA,110000,NA,89,Jamaica,840
2007,no,condo,combo,no,yes,eat in,2,2,0,4,NA,476000,863,92,West Central Queens,391.25
1965,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,100000,NA,77,Southwest Queens,745
1950,yes,co-op,formal,no,no,efficiency,2,2,0,4,NA,217500,NA,81,North Queens,913
1991,no,condo,combo,no,no,efficiency,1,1,0,3,NA,235000,NA,97,West Queens,445.5
1970,no,co-op,combo,no,no,efficiency,2,2,0,5,NA,492500,NA,76,North Queens,1477
2009,no,condo,combo,no,no,eat in,2,2,0,6,NA,550000,1029,97,North Queens,324.75
1950,no,co-op,formal,no,no,eat in,2,1,0,4,40,120000,NA,76,Jamaica,720
1969,no,co-op,NA,no,no,eat in,1,1,0,3,NA,210000,750,97,North Queens,595
1952,no,co-op,combo,no,yes,eat in,1,1,0,3,NA,197500,NA,94,West Central Queens,915
1959,no,co-op,formal,no,no,eat in,1,1,0,3,NA,220000,NA,96,West Queens,596
1964,yes,co-op,combo,no,no,combo,1,1,0,3,NA,283500,NA,97,West Central Queens,0
1963,yes,co-op,combo,yes,yes,efficiency,1,1,0,2,NA,173000,NA,91,West Queens,703
1954,yes,co-op,NA,no,no,eat in,2,1,0,4,NA,169000,850,78,Southwest Queens,597
1940,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,143000,NA,90,Southwest Queens,322
1951,no,co-op,combo,no,no,eat in,2,1,0,4,NA,170000,NA,94,West Queens,849
1965,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,82000,NA,77,Southwest Queens,753
1973,yes,condo,combo,yes,yes,efficiency,2,1,0,4,NA,383000,778,90,Central Queens,700.75
1950,no,co-op,combo,no,no,efficiency,1,1,0,4,50,165000,NA,77,Northeast Queens,575
1950,no,co-op,NA,no,no,eat in,1,1,0,3,NA,185000,NA,85,Jamaica,499
1935,yes,co-op,combo,yes,no,eat in,1,1,0,3,NA,409000,NA,98,West Queens,804
1950,no,co-op,NA,no,no,eat in,0,1,0,2,50,145000,500,94,West Central Queens,585
1980,no,condo,formal,no,no,eat in,3,2,0,6,NA,590000,NA,75,Northeast Queens,533.75
1982,no,condo,combo,no,yes,eat in,2,2,0,5,NA,620000,NA,82,North Queens,1208.916667
2009,no,condo,combo,no,no,eat in,1,2,0,5,NA,415000,862,97,North Queens,275.5833333
1950,yes,co-op,NA,yes,no,efficiency,0,1,0,1,NA,150000,400,96,West Queens,439
1950,yes,co-op,combo,yes,no,eat in,2,1,0,4,NA,267000,NA,55,Southeast Queens,698
1965,yes,co-op,NA,yes,yes,combo,1,1,0,4,NA,397000,NA,92,West Central Queens,1368
1950,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,195000,NA,68,West Central Queens,590
1951,yes,co-op,combo,no,no,efficiency,3,1,0,5,NA,225000,NA,72,Northeast Queens,1015
1952,yes,co-op,NA,yes,no,efficiency,1,1,0,3,NA,210000,NA,98,West Queens,559
1945,yes,co-op,NA,yes,no,combo,1,1,0,3,NA,153000,NA,73,Central Queens,0
1955,yes,co-op,combo,no,no,eat in,1,1,0,3,NA,170000,NA,82,North Queens,640
1942,no,co-op,combo,no,yes,eat in,2,1,0,4,NA,243000,NA,90,Central Queens,929
1950,yes,co-op,combo,yes,no,eat in,2,1,0,4,NA,217761,NA,68,Northeast Queens,671
1990,no,condo,NA,no,no,Combo,1,1,0,5,NA,439000,650,97,North Queens,658.5
1965,no,co-op,NA,no,yes,eat in,3,2,0,6,32,950000,NA,99,West Central Queens,2907
1950,yes,co-op,formal,yes,no,eat in,2,1,0,3,NA,275000,NA,77,Southeast Queens,698
1950,yes,co-op,combo,no,no,eat in,1,1,0,3,NA,132000,700,79,North Queens,735
1950,no,co-op,NA,no,no,eat in,1,1,0,4,NA,109500,700,73,Southeast Queens,539
1950,yes,co-op,NA,yes,no,eat in,3,1,0,5,NA,298000,812,77,Southeast Queens,765
1964,yes,co-op,combo,no,no,Combo,1,1,0,3,NA,285000,NA,97,West Central Queens,874
1965,yes,co-op,formal,yes,no,efficiency,3,1,1,6,NA,231000,1059,77,Southwest Queens,1198
1950,yes,co-op,combo,yes,no,eat in,2,1,0,4,48,218340,NA,75,Northeast Queens,601
2006,yes,condo,NA,yes,no,efficiency,2,1,1,4,NA,665000,883,83,Northwest Queens,917
1939,no,co-op,NA,no,no,efficiency,2,1,0,5,45,399000,950,83,West Queens,951
1956,yes,co-op,formal,yes,no,Combo,2,2,0,5,50,350000,1300,59,Northeast Queens,1023
1915,yes,co-op,formal,yes,no,efficiency,2,1,0,5,NA,498000,NA,99,West Queens,724
1950,no,co-op,combo,no,no,eat in,1,1,0,3,NA,89000,NA,82,Central Queens,728
1935,no,co-op,NA,no,no,eat in,1,1,0,3,NA,278000,700,90,West Queens,523
1960,no,co-op,NA,no,no,eat in,3,2,0,6,NA,560000,1300,92,West Central Queens,1458
1955,yes,co-op,combo,yes,no,eat in,2,2,0,5,NA,262000,NA,82,Jamaica,1167
