approx_year_built,cats_allowed,coop_condo,dining_room_type,dogs_allowed,garage_exists,kitchen_type,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,pct_tax_deductibl,sale_price,sq_footage,walk_score,zip_codes,monthly_costs
1970,yes,co-op,combo,yes,yes,efficiency,0,1,0,2,48,240000,NA,71,North Queens,946
1952,no,co-op,combo,no,no,efficiency,1,1,0,4,NA,145000,NA,83,Jamaica,823
1987,yes,condo,combo,yes,no,eat in,2,2,0,4,NA,470000,1096,92,Southwest Queens,684.6666667
1958,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,129000,NA,97,Jamaica,814
1950,yes,co-op,combo,yes,no,efficiency,1,1,0,3,NA,172000,NA,47,Southeast Queens,679
1955,no,co-op,combo,no,yes,eat in,2,1,0,4,NA,222000,NA,68,Northeast Queens,601
1949,yes,co-op,combo,yes,no,eat in,2,1,0,5,NA,273000,950,78,North Queens,956
1939,no,co-op,NA,no,no,eat in,1,1,0,3,NA,255960,800,94,West Central Queens,723
1955,no,co-op,combo,no,no,eat in,1,1,0,3,NA,117000,770,85,Jamaica,791
1955,yes,co-op,combo,yes,yes,efficiency,1,1,0,3,50,232500,750,96,West Central Queens,742
1958,no,co-op,formal,no,no,eat in,3,1,0,6,NA,347000,NA,72,North Queens,850
1950,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,120000,NA,74,Northeast Queens,476
1957,yes,co-op,combo,yes,no,Combo,1,1,0,3,50,235000,NA,92,West Central Queens,661
1954,no,co-op,combo,no,no,eat in,2,1,0,4,NA,136000,NA,69,Southeast Queens,706
1985,yes,condo,NA,yes,no,eat in,1,1,0,4,NA,469000,750,53,North Queens,733.3333333
1953,no,co-op,NA,no,yes,efficiency,2,1,0,4,NA,115000,700,77,West Queens,954
1970,yes,co-op,formal,no,no,eat in,2,1,0,5,NA,180000,NA,78,Southwest Queens,711
1956,no,co-op,combo,no,no,eat in,2,1,0,6,NA,430000,1500,94,North Queens,1093
1964,no,co-op,NA,no,yes,efficiency,2,2,0,5,NA,525000,1300,98,West Central Queens,1117
1947,yes,co-op,combo,yes,no,efficiency,1,1,0,3,NA,189000,NA,74,Southeast Queens,497
1958,no,co-op,combo,no,no,efficiency,2,1,1,4,NA,280000,NA,98,West Queens,650
1986,yes,condo,formal,yes,yes,eat in,3,2,0,6,NA,540000,NA,80,Central Queens,666.1666667
1968,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,116000,800,90,West Queens,649
1953,no,co-op,formal,no,no,combo,2,1,0,4,NA,360000,NA,96,North Queens,765
1928,no,co-op,combo,no,no,eat in,2,1,0,5,NA,395000,NA,65,Northeast Queens,880
1960,no,co-op,combo,no,no,eat in,1,1,0,3,NA,245000,850,88,North Queens,711
1929,no,co-op,combo,no,no,eat in,1,1,0,4,50,174000,NA,92,Southwest Queens,902
1987,yes,condo,combo,yes,no,NA,1,1,0,3,NA,328000,NA,97,North Queens,757.4166667
1953,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,158000,NA,74,Northeast Queens,651
2009,no,condo,combo,no,no,Combo,2,2,0,4,NA,520000,NA,98,West Queens,452
1952,no,co-op,formal,no,yes,eat in,3,2,1,7,NA,500000,NA,90,West Central Queens,1414
1950,no,co-op,combo,no,no,efficiency,2,1,0,5,NA,262000,NA,85,Northeast Queens,985
1948,no,co-op,combo,no,no,efficiency,1,1,0,3,40,158000,550,88,Central Queens,567
1950,yes,co-op,formal,yes,yes,combo,1,1,0,3,40,147000,850,91,Southwest Queens,711
1954,yes,co-op,NA,yes,no,efficiency,0,1,0,2,50,147000,NA,95,West Central Queens,412
1965,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,222000,NA,97,West Central Queens,708
1948,no,condo,combo,no,no,eat in,1,1,0,3,NA,415500,743,98,Northwest Queens,327.5
1948,yes,co-op,combo,yes,no,Combo,2,1,0,5,NA,240000,NA,78,Jamaica,1387
1952,no,co-op,combo,no,no,eat in,3,1,0,5,NA,265000,NA,85,North Queens,770
1951,no,co-op,combo,no,no,eat in,0,1,0,2,NA,175000,NA,96,West Queens,465
1952,yes,condo,combo,yes,no,eat in,2,1,0,4,NA,499888,801,85,Central Queens,684.6666667
NA,yes,co-op,NA,yes,no,eat in,0,1,0,3,NA,210000,NA,96,West Queens,494
1970,yes,co-op,NA,no,yes,efficiency,1,1,0,4,NA,400000,NA,76,North Queens,1282
1990,yes,condo,NA,yes,no,Combo,1,1,0,3,NA,365000,610,93,West Queens,337.6666667
2005,yes,condo,combo,yes,no,eat in,2,2,0,3,NA,440000,900,70,West Central Queens,509.0833333
2001,no,condo,combo,no,no,efficiency,2,2,0,5,NA,450000,NA,82,West Central Queens,621.4166667
1941,yes,co-op,formal,yes,no,eat in,1,1,0,3,NA,305000,NA,98,West Queens,594
1961,no,co-op,formal,no,no,Combo,2,2,0,5,41,500000,1150,64,Northeast Queens,1361
1950,yes,co-op,formal,yes,no,efficiency,1,1,0,3,NA,167500,NA,67,Central Queens,788
1955,yes,co-op,NA,yes,yes,eat in,1,1,0,3,50,260000,NA,92,West Central Queens,793
1975,no,co-op,NA,no,yes,efficiency,1,1,1,4,50,490000,1010,54,Southeast Queens,1468
1941,yes,co-op,combo,yes,yes,eat in,2,1,0,5,42,269000,NA,79,Northeast Queens,1149
1958,yes,co-op,combo,yes,yes,efficiency,1,1,0,3,50,158000,750,85,Jamaica,810
1950,no,co-op,combo,no,no,efficiency,1,1,0,3,52,155000,NA,88,Northeast Queens,676
1950,no,co-op,combo,no,yes,efficiency,2,1,0,5,NA,263000,998,93,West Queens,751
1950,yes,co-op,dining area,no,no,efficiency,1,1,0,3,NA,190000,NA,81,North Queens,780
NA,no,co-op,NA,no,no,NA,2,1,0,6,NA,325000,NA,97,West Queens,763
1962,yes,co-op,formal,no,no,Combo,2,2,0,5,NA,575000,1650,40,North Queens,2180
1961,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,155000,NA,76,Northeast Queens,695
1960,yes,co-op,NA,yes,no,efficiency,1,1,0,3,NA,130000,NA,68,Southwest Queens,558
1965,yes,co-op,combo,no,no,eat in,2,1,0,4,NA,150000,NA,77,Southwest Queens,729
1951,yes,co-op,combo,no,no,efficiency,2,1,0,5,NA,210000,NA,78,North Queens,949
2008,no,condo,NA,no,no,NA,2,2,0,4,NA,545000,898,92,West Queens,450
2008,no,condo,combo,no,no,Combo,2,2,0,6,NA,568000,700,96,West Queens,414.25
2004,yes,condo,formal,no,no,eat in,1,2,0,4,NA,470000,800,96,North Queens,397.3333333
1949,yes,co-op,combo,yes,no,eat in,2,1,0,4,NA,225000,NA,65,Northeast Queens,637
2007,no,condo,NA,no,no,efficiency,1,1,0,4,NA,380000,NA,77,West Central Queens,355
1952,yes,condo,NA,yes,yes,eat in,2,1,0,5,NA,428500,NA,82,Central Queens,647
1960,no,condo,NA,no,no,efficiency,1,1,1,5,NA,438000,NA,23,Northeast Queens,659.3333333
1953,no,co-op,NA,no,no,efficiency,1,1,0,3,50,134000,575,83,Jamaica,746
1973,no,co-op,combo,no,yes,efficiency,0,1,0,2,50,159000,550,92,West Central Queens,755
1948,no,co-op,combo,no,no,Combo,2,1,0,5,NA,240000,800,86,Southeast Queens,630
2010,yes,condo,combo,yes,no,efficiency,2,2,0,4,NA,585000,763,94,West Central Queens,322.5833333
1974,no,co-op,combo,no,no,efficiency,0,1,0,2,NA,125000,NA,93,Southwest Queens,601
1954,no,co-op,NA,no,no,eat in,2,1,0,4,NA,449000,NA,99,West Central Queens,1168
1965,yes,condo,NA,yes,no,efficiency,1,1,0,4,NA,174000,NA,76,Southwest Queens,636.5
1950,yes,co-op,dining area,no,no,efficiency,1,1,0,3,NA,165500,NA,80,North Queens,756
1940,yes,co-op,combo,yes,no,combo,2,1,0,4,NA,225000,NA,87,Central Queens,905
1975,no,co-op,formal,no,no,eat in,2,2,1,5,50,730000,1500,54,Southeast Queens,2338
1955,yes,co-op,formal,no,no,combo,2,1,0,4,50,155000,NA,72,Southeast Queens,644
1982,yes,condo,combo,no,no,eat in,2,3,0,7,NA,790000,1419,82,North Queens,1500.916667
NA,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,228000,750,91,West Central Queens,626
1960,no,co-op,combo,no,no,eat in,0,1,0,2,NA,151500,NA,97,North Queens,480
1988,no,condo,combo,no,no,combo,2,1,1,5,NA,555000,NA,97,North Queens,1144.666667
1965,no,co-op,formal,no,yes,efficiency,2,1,0,5,50,518000,1100,98,West Central Queens,1154
1982,yes,condo,combo,yes,yes,efficiency,1,2,0,4,NA,200000,NA,73,Southwest Queens,437.3333333
1950,yes,co-op,combo,no,no,eat in,2,1,0,4,NA,248500,NA,77,Northeast Queens,810
1964,yes,co-op,combo,no,no,combo,1,1,0,3,NA,265000,NA,97,West Central Queens,667
1950,no,co-op,NA,no,no,combo,2,1,0,4,NA,295000,1000,98,West Queens,715
1995,no,condo,combo,no,no,efficiency,2,2,0,5,NA,588000,1137,15,Northeast Queens,575.6666667
2014,no,condo,combo,no,no,eat in,2,2,0,5,NA,600000,870,96,North Queens,1455
2008,no,condo,combo,no,no,efficiency,1,1,0,4,NA,455000,NA,98,North Queens,221.25
1942,no,co-op,formal,no,no,eat in,2,1,0,5,NA,479000,NA,98,West Central Queens,1059
1953,no,co-op,combo,no,yes,eat in,2,1,0,4,NA,106000,NA,77,West Queens,877
1955,no,co-op,formal,no,yes,eat in,1,1,0,3,NA,185000,NA,86,North Queens,736
2008,no,condo,NA,no,no,Combo,2,1,0,4,NA,555000,900,92,North Queens,576
2007,no,condo,combo,no,no,eat in,2,2,0,6,NA,612500,NA,93,North Queens,290.0833333
1957,no,co-op,combo,no,no,eat in,1,1,0,3,NA,248000,850,96,North Queens,869
1950,yes,co-op,combo,no,no,efficiency,2,1,0,5,NA,270000,NA,76,Northeast Queens,849
2006,yes,condo,NA,yes,no,efficiency,1,1,0,3,NA,295500,450,92,North Queens,148.9166667
1968,no,condo,formal,no,no,eat in,2,2,0,5,NA,639000,1100,95,North Queens,897.0833333
2007,yes,condo,combo,yes,no,Combo,1,1,0,3,NA,875000,752,90,Northwest Queens,985.4166667
1950,no,co-op,combo,no,no,efficiency,0,1,0,2,NA,185000,550,97,West Queens,382
1968,no,co-op,formal,no,yes,eat in,3,2,0,6,35,767000,1500,97,West Central Queens,2004
1965,no,co-op,formal,no,no,efficiency,1,1,0,4,50,310000,NA,99,West Central Queens,981
1965,no,co-op,formal,no,no,eat in,3,2,1,8,40,435000,NA,76,North Queens,2100
1958,no,co-op,combo,no,no,eat in,1,1,0,3,NA,252500,NA,40,North Queens,1000
1950,no,co-op,combo,no,yes,Combo,1,1,0,3,NA,142000,750,83,Jamaica,628
1964,no,co-op,combo,no,no,eat in,2,1,0,4,NA,338888,NA,89,West Central Queens,968
1952,yes,co-op,formal,yes,yes,eat in,1,1,0,3,45,220000,750,92,West Central Queens,942
1958,yes,co-op,NA,yes,no,efficiency,2,1,0,4,NA,410000,875,93,Northwest Queens,1209
1985,no,condo,combo,no,yes,eat in,3,2,1,7,NA,580000,1633,64,North Queens,867.4166667
2009,no,condo,combo,no,no,eat in,2,2,0,4,NA,480000,741,86,West Queens,372.1666667
1953,no,co-op,combo,no,yes,efficiency,2,2,0,6,NA,321500,1100,59,Northeast Queens,1037
1971,no,condo,combo,no,yes,NA,3,2,1,6,NA,687000,NA,65,Northeast Queens,674
1949,yes,condo,NA,yes,no,efficiency,2,1,0,4,NA,445000,821,81,West Queens,702.25
1927,no,condo,combo,no,no,eat in,1,1,0,3,NA,445000,712,96,West Queens,372.25
1926,no,condo,NA,no,no,eat in,3,2,0,6,NA,830000,2000,96,North Queens,1267.583333
1921,yes,co-op,formal,no,no,efficiency,2,1,0,5,NA,575000,NA,99,West Queens,689
1961,yes,co-op,combo,no,no,efficiency,1,1,0,4,NA,168000,NA,76,Northeast Queens,737
1950,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,155000,NA,78,North Queens,786
1950,no,co-op,NA,no,no,eat in,1,1,0,3,NA,199900,NA,79,Southeast Queens,585
1965,yes,co-op,combo,yes,yes,efficiency,2,1,0,4,NA,435000,1000,92,West Central Queens,1223
1928,yes,co-op,NA,no,no,eat in,2,1,0,4,NA,432000,900,97,West Queens,872
1940,no,co-op,combo,no,no,efficiency,3,1,0,5,50,268000,975,90,Central Queens,854
2016,yes,condo,combo,yes,no,Combo,2,1,1,4,NA,471800,787,93,Southwest Queens,294.0833333
1959,yes,co-op,formal,yes,no,efficiency,2,1,0,5,NA,155000,NA,73,Southwest Queens,713
1950,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,113000,NA,78,Jamaica,852
1961,no,co-op,formal,no,no,efficiency,1,1,0,3,NA,200000,750,79,Northeast Queens,707
2010,no,condo,combo,no,no,combo,2,2,0,4,NA,580000,889,91,North Queens,530.9166667
1965,yes,co-op,combo,no,no,efficiency,1,1,0,2,NA,89000,NA,76,Southwest Queens,520
1951,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,178000,NA,85,North Queens,714
1950,no,co-op,NA,no,no,efficiency,1,1,0,4,NA,151000,NA,83,North Queens,721
2015,yes,condo,combo,yes,no,eat in,3,2,0,7,NA,905000,1400,85,Northwest Queens,250
1987,no,condo,NA,no,no,efficiency,2,2,0,5,NA,625000,1000,93,North Queens,963
1997,no,condo,combo,no,no,eat in,1,1,0,3,NA,403800,NA,97,North Queens,216.1666667
1929,no,condo,combo,no,no,efficiency,1,1,0,3,NA,410000,858,99,West Queens,622.1666667
1963,yes,co-op,NA,yes,no,efficiency,1,1,0,3,NA,152500,NA,72,Southwest Queens,740
1961,yes,co-op,NA,no,no,efficiency,0,1,0,3,NA,134000,NA,76,Northeast Queens,666
1950,yes,co-op,combo,no,no,combo,2,1,0,4,NA,226000,NA,88,Northeast Queens,830
1955,no,co-op,NA,no,no,eat in,2,1,1,6,NA,290000,950,96,West Queens,567
1936,yes,co-op,formal,yes,no,eat in,2,2,0,6,NA,415000,1300,84,Southwest Queens,1154
1951,yes,co-op,formal,yes,yes,efficiency,1,1,0,4,NA,200000,NA,88,Central Queens,758
1942,yes,condo,formal,yes,no,Combo,1,1,0,4,NA,520000,970,98,West Queens,593
1960,yes,co-op,combo,yes,no,efficiency,1,1,0,3,NA,95000,NA,69,Southwest Queens,663
1960,yes,co-op,formal,no,no,eat in,1,1,0,4,NA,150000,NA,78,Southwest Queens,520
1955,no,co-op,combo,no,no,Combo,1,1,0,4,NA,175000,780,92,Southwest Queens,796
1965,yes,co-op,formal,yes,yes,efficiency,1,1,0,4,50,430000,NA,92,West Central Queens,1246
1961,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,163000,NA,76,Northeast Queens,771
1940,yes,co-op,NA,yes,no,Combo,1,1,0,3,50,430000,918,97,West Queens,821
1950,yes,co-op,combo,yes,no,efficiency,1,1,0,3,NA,210000,NA,79,Southeast Queens,616
1963,no,co-op,NA,no,no,eat in,2,1,0,4,50,250000,850,85,Northeast Queens,820
1963,no,co-op,combo,no,no,efficiency,0,1,0,3,NA,162500,NA,88,West Central Queens,401
1955,yes,co-op,NA,no,yes,efficiency,2,1,0,4,50,410000,1000,94,West Central Queens,995
1953,yes,co-op,formal,no,no,eat in,2,1,0,5,35,280000,NA,67,Northeast Queens,996
1935,yes,co-op,formal,yes,no,eat in,1,1,0,4,NA,180000,800,86,Jamaica,795
2016,no,condo,combo,no,no,eat in,1,1,0,3,NA,293000,477,86,North Queens,161.8333333
2016,no,condo,combo,no,no,eat in,1,1,0,3,NA,250000,541,86,North Queens,183
2006,no,condo,combo,no,no,eat in,2,2,0,4,NA,438000,NA,95,West Queens,270.6666667
1940,yes,co-op,NA,yes,no,combo,2,1,0,4,50,572500,980,97,West Queens,1088
1963,no,condo,combo,no,no,Combo,0,1,0,2,NA,288888,NA,85,Central Queens,503.0833333
1987,no,condo,combo,no,yes,efficiency,2,1,1,5,NA,380000,906,91,West Central Queens,1097
1989,yes,condo,formal,yes,no,eat in,3,2,0,6,NA,600000,NA,48,North Queens,379.0833333
1950,no,co-op,combo,no,no,eat in,1,1,0,3,NA,159000,NA,55,Southeast Queens,676
1960,no,co-op,formal,no,no,efficiency,2,1,0,5,NA,132000,NA,77,Southwest Queens,713
1960,yes,co-op,combo,no,no,eat in,1,1,0,3,57,203000,800,80,Northeast Queens,901
1950,no,co-op,formal,no,yes,eat in,1,1,0,3,50,290000,NA,89,West Central Queens,828
2005,no,condo,combo,no,no,efficiency,2,2,0,4,NA,512000,943,70,West Central Queens,531
1953,no,co-op,combo,no,no,efficiency,1,1,0,4,NA,79000,650,77,West Queens,748
1947,yes,co-op,formal,yes,no,efficiency,2,1,0,5,NA,223000,NA,85,Southwest Queens,1441
1956,no,co-op,combo,no,yes,eat in,1,1,0,3,20,205000,NA,91,West Central Queens,740
1960,no,co-op,combo,no,no,eat in,0,1,0,3,NA,175000,500,94,West Central Queens,679
1962,no,co-op,NA,no,no,eat in,1,1,0,4,40,300000,750,64,Northeast Queens,1011
1984,no,condo,combo,no,yes,efficiency,1,1,0,4,NA,510000,NA,85,North Queens,737.4166667
1950,no,co-op,NA,no,no,eat in,1,1,0,3,NA,219000,NA,92,West Central Queens,713
1942,yes,condo,combo,yes,no,efficiency,2,1,0,4,NA,530000,922,98,West Queens,667.1666667
1958,no,co-op,formal,no,no,efficiency,2,1,0,5,NA,308000,NA,72,North Queens,753
1950,no,co-op,combo,no,no,eat in,2,1,0,4,NA,230000,NA,70,Northeast Queens,646
1961,yes,co-op,combo,no,no,efficiency,1,1,0,4,NA,148000,NA,76,Northeast Queens,666
1965,yes,co-op,NA,yes,yes,combo,2,2,0,4,NA,625000,NA,92,West Central Queens,1588
1965,yes,co-op,NA,yes,yes,Combo,2,2,0,4,NA,625000,NA,92,West Central Queens,1588
1955,no,co-op,NA,no,yes,eat in,2,1,0,4,50,369000,NA,94,West Central Queens,777
1964,no,co-op,combo,no,no,Combo,1,1,0,3,NA,275000,NA,97,West Central Queens,885
1950,no,co-op,formal,no,no,eat in,2,1,0,4,NA,324000,NA,95,West Queens,783
1961,no,co-op,combo,no,yes,efficiency,1,1,0,4,NA,103000,NA,99,Jamaica,880
1974,no,co-op,formal,no,no,efficiency,2,1,0,5,50,388000,950,93,Southwest Queens,1256
1938,no,co-op,NA,no,yes,efficiency,1,1,0,3,NA,245000,NA,93,West Central Queens,710
1948,yes,co-op,NA,yes,no,combo,1,1,0,2,NA,175000,NA,99,West Central Queens,520
1948,yes,co-op,NA,yes,no,Combo,0,1,0,2,NA,175000,NA,99,West Central Queens,520
2011,no,condo,combo,no,no,efficiency,1,1,0,3,NA,720000,NA,95,North Queens,572.5
1960,yes,co-op,combo,yes,no,eat in,2,1,0,5,NA,265000,NA,70,Northeast Queens,884
1955,no,co-op,NA,no,no,eat in,3,1,0,5,65,215000,NA,72,Southeast Queens,801
1961,no,condo,combo,no,no,Combo,1,1,0,5,NA,420000,NA,98,North Queens,1689.75
1963,no,co-op,NA,no,yes,Combo,1,1,0,4,NA,179000,NA,91,Southwest Queens,1093
2008,yes,condo,combo,yes,yes,Combo,2,2,0,4,NA,740000,831,95,Northwest Queens,260.0833333
1938,yes,co-op,NA,yes,no,efficiency,1,1,0,3,20,190000,NA,96,West Queens,818
1962,no,co-op,combo,no,no,eat in,0,1,0,3,NA,180000,630,93,Northeast Queens,0
1955,yes,co-op,formal,no,no,efficiency,3,1,0,6,NA,310000,NA,67,Northeast Queens,957
1964,no,co-op,NA,no,no,efficiency,2,1,0,5,50,390000,NA,68,Northeast Queens,1340
1954,no,co-op,formal,no,yes,combo,1,1,0,6,45,135000,NA,83,Jamaica,763
NA,no,co-op,combo,no,no,eat in,1,1,0,3,NA,240000,NA,86,North Queens,540
1950,no,co-op,formal,no,yes,eat in,2,1,0,5,NA,300000,NA,42,Northeast Queens,540.5833333
1982,yes,condo,formal,no,no,Combo,1,1,1,4,NA,617000,950,82,North Queens,1082.333333
1958,no,co-op,formal,no,yes,efficiency,2,1,0,4,38,255000,950,93,West Queens,685
NA,yes,co-op,NA,yes,no,eat in,2,1,0,4,NA,258000,NA,70,Northeast Queens,746
1950,yes,co-op,NA,no,no,eat in,2,1,0,4,NA,254000,NA,75,North Queens,879
1964,yes,co-op,combo,no,no,efficiency,2,1,0,4,57,250000,NA,80,Northeast Queens,986
1960,yes,co-op,formal,no,no,eat in,2,1,0,5,NA,315000,1200,70,North Queens,1028
1975,no,co-op,formal,no,yes,eat in,3,3,1,6,50,999999,2489,54,Southeast Queens,4804
1986,no,condo,combo,no,yes,eat in,3,2,1,7,NA,576000,1633,64,North Queens,840
1982,no,condo,formal,no,no,eat in,2,2,0,5,NA,725000,NA,69,North Queens,1061.333333
1960,no,co-op,NA,no,no,eat in,2,2,0,5,NA,305000,1200,69,North Queens,1351
1989,yes,condo,NA,yes,yes,efficiency,2,2,0,6,NA,650000,886,81,Northwest Queens,749
1950,yes,co-op,NA,no,no,eat in,1,1,0,3,NA,157000,NA,82,Northeast Queens,673
2016,yes,condo,combo,yes,no,efficiency,1,1,0,2,NA,701888,765,92,North Queens,372.8333333
1942,no,condo,NA,no,no,eat in,1,1,0,3,NA,425000,679,70,West Queens,618.5833333
1977,yes,condo,NA,yes,no,efficiency,0,1,0,2,NA,129700,NA,73,Southwest Queens,372.3333333
2012,no,condo,NA,no,no,combo,2,2,0,5,NA,650000,990,93,Northeast Queens,308.3333333
1950,no,co-op,combo,no,no,efficiency,1,1,0,4,NA,195500,NA,88,Northeast Queens,713
2016,yes,condo,NA,yes,no,Combo,1,1,0,4,NA,775000,NA,96,Northwest Queens,440.3333333
1958,no,co-op,formal,no,no,eat in,3,2,0,6,NA,700000,2200,45,North Queens,1800
1950,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,130000,NA,73,Southwest Queens,448
1952,yes,co-op,formal,no,no,eat in,2,1,0,5,NA,293800,NA,77,Northeast Queens,989
1988,yes,condo,combo,yes,yes,combo,1,1,0,3,NA,485000,NA,96,West Central Queens,725.3333333
1989,yes,condo,NA,yes,no,efficiency,0,1,0,2,NA,385000,NA,81,Northwest Queens,413.8333333
1969,no,co-op,combo,no,yes,efficiency,1,1,0,3,NA,245000,700,76,North Queens,871
2007,no,condo,NA,no,no,Combo,1,1,0,3,25,480000,2338,95,Northwest Queens,220.0833333
1922,yes,co-op,formal,yes,no,efficiency,3,2,0,6,25,692000,1300,97,West Queens,885
1922,yes,co-op,formal,yes,no,efficiency,3,2,0,6,25,692000,1300,97,West Queens,885
2003,no,condo,formal,no,no,efficiency,2,2,0,5,NA,465000,NA,81,Southwest Queens,534.75
1955,no,co-op,NA,no,no,efficiency,1,1,0,2,NA,159500,NA,89,West Central Queens,418
1960,no,co-op,combo,no,no,efficiency,1,1,0,4,NA,164900,730,90,Central Queens,639
1992,yes,condo,formal,yes,yes,eat in,1,1,0,4,NA,375000,735,91,West Queens,678.3333333
1958,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,180000,NA,96,West Queens,0
1950,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,186000,NA,77,Northeast Queens,687
1955,no,co-op,combo,no,no,eat in,1,1,0,3,NA,169000,NA,95,North Queens,775
1963,no,condo,formal,no,no,efficiency,1,1,0,3,NA,280000,544,85,Central Queens,429.5
1951,no,co-op,formal,no,no,eat in,2,1,0,5,NA,350000,850,96,West Queens,796
1960,no,co-op,NA,no,no,eat in,3,2,0,6,NA,360000,1500,69,North Queens,1633
1956,no,co-op,combo,no,no,eat in,1,1,0,3,NA,230000,NA,92,Central Queens,627
1955,yes,co-op,combo,yes,yes,efficiency,2,1,0,4,50,350000,900,94,West Central Queens,922
1951,yes,co-op,combo,no,no,efficiency,2,1,0,3,NA,235000,NA,86,North Queens,815
1920,no,co-op,NA,no,no,combo,2,1,0,4,NA,275000,1000,87,Southwest Queens,800
1953,yes,co-op,combo,no,no,efficiency,1,1,0,3,35,193000,NA,76,Northeast Queens,776
1953,no,co-op,combo,no,yes,eat in,1,1,0,3,NA,92000,750,82,Jamaica,639
1958,no,co-op,NA,no,yes,efficiency,1,1,0,4,NA,131000,700,89,Jamaica,861
1955,yes,co-op,formal,yes,yes,efficiency,2,2,0,6,NA,408000,1200,94,West Central Queens,1257
1970,yes,co-op,NA,no,yes,efficiency,1,1,0,4,NA,425000,NA,67,North Queens,1232
1964,yes,co-op,combo,yes,yes,efficiency,2,1,0,4,NA,360000,NA,55,West Central Queens,1370
1961,yes,co-op,combo,no,no,efficiency,1,1,0,2,NA,132500,NA,76,Northeast Queens,655
1950,no,co-op,NA,no,no,eat in,2,1,0,4,NA,216000,NA,83,Jamaica,850
1947,no,co-op,formal,no,no,Combo,1,1,0,5,NA,232500,1000,94,West Central Queens,680
2010,no,condo,combo,no,no,eat in,2,2,0,5,NA,428000,820,96,West Queens,181.75
2006,no,condo,combo,no,no,Combo,2,2,0,4,NA,635000,NA,99,North Queens,5.833333333
1958,no,co-op,NA,no,no,eat in,2,1,1,4,NA,310000,NA,96,West Queens,659
1983,no,condo,combo,no,yes,eat in,2,2,0,6,NA,NA,1250,82,North Queens,1314
1930,yes,co-op,NA,yes,no,combo,1,1,0,2,NA,NA,450,99,West Central Queens,862
1912,no,co-op,NA,no,no,efficiency,NA,1,0,2,43,NA,NA,99,West Central Queens,738
1953,yes,co-op,combo,no,no,combo,3,1,0,5,39,NA,NA,49,North Queens,1495
1941,no,condo,formal,no,no,efficiency,4,1,0,7,NA,NA,1524,94,West Central Queens,481.3333333
1957,no,condo,NA,no,no,combo,1,1,0,3,NA,NA,NA,95,West Central Queens,456
1953,no,co-op,combo,no,no,combo,3,1,0,5,NA,NA,NA,58,North Queens,1475
2004,no,condo,NA,no,no,eat in,1,1,0,3,NA,NA,550,90,West Queens,214.75
1955,no,co-op,combo,no,no,eat in,1,1,0,3,NA,NA,NA,99,West Central Queens,804
1960,no,co-op,NA,yes,no,combo,3,3,0,6,50,NA,1650,92,West Central Queens,1895
1965,yes,co-op,NA,yes,yes,combo,2,1,0,4,NA,NA,NA,92,West Central Queens,1141
1960,no,co-op,formal,no,no,eat in,2,1,0,6,NA,NA,1300,96,West Central Queens,1000
1953,yes,co-op,combo,yes,no,combo,1,1,0,3,NA,NA,850,58,North Queens,1036
1953,yes,co-op,formal,yes,yes,eat in,3,2,0,6,NA,NA,1350,94,West Central Queens,1451
1955,yes,co-op,formal,yes,no,eat in,3,2,0,6,NA,NA,1350,94,West Central Queens,1477
1953,no,co-op,combo,no,no,eat in,2,1,0,5,NA,NA,NA,94,West Central Queens,1072
1955,yes,co-op,formal,yes,no,eat in,3,2,0,6,NA,NA,NA,94,West Central Queens,1477
1950,no,co-op,combo,no,no,efficiency,1,1,0,0,50,NA,850,94,West Central Queens,683
NA,yes,co-op,NA,no,no,eat in,1,1,0,3,NA,NA,NA,58,North Queens,909
2006,no,condo,NA,no,no,eat in,2,1,0,5,NA,NA,NA,97,West Queens,254
2009,yes,condo,combo,yes,yes,efficiency,3,2,0,6,NA,NA,847,97,West Queens,240.6666667
2009,no,condo,combo,yes,no,combo,1,1,1,4,NA,NA,592,96,West Queens,222.5833333
2010,no,condo,formal,no,no,efficiency,2,2,0,6,NA,NA,860,96,West Queens,195
2000,no,condo,NA,no,no,eat in,1,1,0,3,NA,NA,620,90,West Queens,339
1952,yes,co-op,combo,no,no,eat in,1,1,0,1,50,NA,500,90,West Central Queens,494
1950,no,co-op,combo,no,no,efficiency,4,2,0,8,NA,NA,NA,90,West Central Queens,1524
1939,no,co-op,NA,no,yes,eat in,1,1,0,3,50,NA,100,98,West Central Queens,1074
1996,no,co-op,NA,no,no,eat in,1,1,0,3,NA,NA,NA,83,West Queens,606
