"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"13",1961,"yes",NA,"co-op","combo","no","54-44 Little Neck Pky,  Little Neck NY, 11362",NA,"eat in","$829",2,1,NA,4,NA,NA,"$220,000 ",NA,NA,78,"11362"
"14",1960,"yes",NA,"co-op","combo","no","160-44 17th Ave,  Whitestone NY, 11357",NA,"Combo","$986",3,1,NA,5,"$20",NA,"$280,000 ",950,NA,79,"11357"
"15",1985,"no","$238","condo","formal","yes","71-12 Sutton Pl,  Fresh Meadows NY, 11365","yes","eat in",NA,3,2,NA,6,NA,NA,"$533,000 ",1100,"$3,333 ",85,"11365"
"16",1960,"no",NA,"co-op","combo","no","144-30 Sanford Ave,  Flushing NY, 11355",NA,"Combo","$1,000 ",2,2,NA,5,NA,NA,"$370,000 ",1300,NA,88,"11355"
"17",1962,"no",NA,"co-op","formal","no","66-15 Thornton Place, Rego Park, NY 11374",NA,"combo",NA,2,2,NA,5,NA,NA,"$392,000 ",NA,NA,88,"11374"
"18",1955,"yes",NA,"co-op",NA,"yes","65-45 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"efficiency","$587",1,1,NA,3,NA,NA,"$200,000 ",NA,NA,90,"11375"
"19",1963,"no",NA,"co-op",NA,"no","125-10 Queens Blvd., Kew Gardens, NY 11415",NA,"efficiency","$1,459 ",2,2,NA,5,"$215",NA,"$289,550 ",NA,NA,91,"11415"
"20",1960,"no",NA,"co-op","combo","no","83-60 118 St,  Kew Gardens NY, 11415",NA,"efficiency","$655",1,1,NA,3,NA,NA,"$140,000 ",NA,NA,90,"11415"
"21",1956,"no",NA,"co-op","combo","no","83-40 Austin St,  Kew Gardens NY, 11415",NA,"eat in","$791",1,1,NA,3,NA,50,"$175,000 ",NA,NA,92,"11415"
"22",1956,"yes",NA,"co-op",NA,"no","198-11 Dunton Ave,  Holliswood NY, 11423",NA,"efficiency","$660",1,1,NA,4,NA,NA,"$150,000 ",NA,NA,72,"11423"
"23",2008,"no","$510","condo","combo","no","Elmhurst NY, 11373",NA,"efficiency",NA,3,2,NA,7,NA,NA,"$500,000 ",991,"$373",87,"11373"
"24",1948,"no",NA,"co-op",NA,"no","144-12 Village Rd,  Briarwood NY, 11435",NA,"efficiency","$963",1,1,NA,4,"$75",NA,"$105,000 ",NA,NA,86,"11435"
"25",1958,"no",NA,"co-op","other","no","33-04 Junction Blvd., Jackson Heights, NY 11372",NA,"eat in","$830",3,1,1,5,NA,NA,"$270,000 ",1150,NA,96,"11372"
"26",1955,"no",NA,"co-op","combo","no","224-43 Manor Rd,  Queens Village NY, 11427",NA,"efficiency","$512",1,1,NA,3,NA,NA,"$130,000 ",NA,NA,57,"11427"
"27",1984,"yes","$385","condo","other","no","66-15 69th Street, Middle Village, NY 11379",NA,"eat in",NA,2,1,NA,5,NA,NA,"$527,000 ",1000,"$3,186 ",68,"11379"
"28",1954,"yes",NA,"co-op","formal","no","15-36 Bell Blvd,  Bayside NY, 11360",NA,"efficiency","$733",2,1,1,5,"$20",NA,"$350,000 ",NA,NA,70,"11360"
"29",1961,"no",NA,"co-op","combo","no","220-55 46th Ave,  Bayside NY, 11361",NA,"efficiency","$1,103 ",2,1,NA,5,NA,NA,"$365,000 ",NA,NA,64,"11361"
"30",1952,"no",NA,"co-op","combo","no","102-55 67th Dr,  Forest Hills NY, 11375",NA,"efficiency","$786",2,1,NA,4,NA,NA,"$290,000 ",NA,NA,94,"11375"
"31",1928,"yes",NA,"co-op",NA,"yes","83-10 35th Ave,  Jackson Heights NY, 11372",NA,"eat in",NA,1,1,NA,3,NA,NA,"$285,000 ",850,NA,98,"11372"
"32",1960,"no",NA,"co-op",NA,"no","42-30 Douglaston Pkwy,  Douglaston NY, 11363",NA,"Combo","$855",2,1,NA,4,"$100",NA,"$380,000 ",900,NA,68,"11363"
"33",1960,"yes",NA,"co-op","formal","no","151-40 88th Street, Howard Beach, NY 11414",NA,"efficiency","$850",2,2,NA,5,NA,NA,"$255,000 ",NA,NA,77,"11414"
"34",1965,"yes",NA,"co-op","combo","yes","90-60 Union Tpke,  Glendale NY, 11385",NA,"eat in","$685",1,1,NA,3,"$70",45,"$175,000 ",750,NA,73,"11385"
"35",1952,"no",NA,"co-op","formal","no","26-26 141 St,  Whitestone NY, 11357",NA,"efficiency","$500",1,1,NA,3,NA,NA,"$138,000 ",NA,NA,80,"11357"
"36",2015,"yes","$406","condo",NA,"yes","42-37 27th St,  Long Island City NY, 11101",NA,"eat in",NA,1,1,NA,3,NA,NA,"$570,000 ",NA,"$16",96,"11101"
"37",2015,"yes","$468","condo",NA,"yes","42-37 27th Street, Long Island City, NY 11101",NA,"eat in",NA,1,1,NA,3,NA,NA,"$605,000 ",530,"$19",96,"11101"
"38",1955,"yes",NA,"co-op","combo","yes","7808 Cloverdale Blvd,  Bayside NY, 11364",NA,"efficiency","$669",1,1,NA,4,NA,NA,"$175,500 ",NA,NA,55,"11364"
"39",1960,"no",NA,"co-op","formal","no","209-25 18th Ave,  Bayside NY, 11360",NA,"eat in","$845",2,1,NA,6,"$20",NA,"$222,500 ",950,NA,70,"11360"
"40",1969,"no",NA,"co-op","formal","no","18-15 215 St,  Bayside NY, 11360","Yes","eat in","$1,827 ",2,2,NA,5,"$135",40,"$600,000 ",NA,NA,76,"11360"
"41",1960,"no",NA,"co-op","combo","no","209-39 23 Ave,  Bayside NY, 11360",NA,"eat in","$1,201 ",2,1,NA,5,"$26",NA,"$260,000 ",NA,NA,80,"11360"
"42",1952,"yes",NA,"co-op","other","yes","35-31 85th St,  Jackson Heights NY, 11372",NA,"efficiency","$543",1,1,NA,3,"$95",NA,"$220,000 ",NA,NA,98,"11372"
"43",1930,"yes",NA,"co-op","other","no","151-31 88 Street, Howard Beach, NY 11414",NA,"efficiency","$857",2,1,NA,5,"$22",NA,"$154,000 ",NA,NA,77,"11414"
"44",1955,"no",NA,"co-op",NA,"no","60-23 Marathon Pky,  Little Neck NY, 11362",NA,"efficiency","$664",1,1,NA,3,NA,NA,"$155,000 ",NA,NA,82,"11362"
"45",1955,"yes",NA,"co-op","other","yes","98-50 67th Avenue,  Rego Park NY, 11374",NA,"efficiency","$739",2,1,NA,5,NA,NA,"$327,000 ",984,NA,93,"11374"
"46",1950,"no",NA,"co-op","combo","no","133-12 Laurelton Pky,  Rosedale NY, 11422",NA,"eat in","$576",1,1,NA,4,NA,NA,"$106,000 ",NA,"$1,127 ",82,"11422"
"47",1961,"no",NA,"co-op","combo","no","99-25 60th Ave,  Corona NY, 11368",NA,"efficiency","$813",2,2,NA,6,NA,NA,"$260,000 ",1200,NA,88,"11368"
